date,txVolume(USD),txCount,marketcap(USD),dailyprice,exchangeVolume,generatedCoins,fees
2016-10-27,1196694113.88,217664.0,10812500000.0,688.31,96105300.0,1750.0,125.75848027,
2016-10-28,2293738580.12,306175.0,10969800000.0,689.65,81145500.0,1875.0,114.424628,
2016-10-29,994421178.13,259256.0,11007600000.0,714.48,134761000.0,1912.5,84.22143798,
2016-10-30,885488965.97,231509.0,11388800000.0,701.86,100665000.0,1825.0,73.4437806,
2016-10-31,804043432.397,207965.0,11207200000.0,700.97,97064400.0,2112.5,64.19342495,
2016-11-01,1054743868.62,238427.0,11187700000.0,729.79,130527000.0,1937.5,74.23372961,
2016-11-02,1137562573.08,250535.0,11647200000.0,740.83,84865200.0,1862.5,79.23399161,
2016-11-03,2661653947.15,261894.0,11844300000.0,688.7,172808000.0,1625.0,79.0376041,
2016-11-04,4056026173.46,260775.0,10996400000.0,703.24,99907700.0,1837.5,75.62880049,
2016-11-05,4216791639.05,256715.0,11227200000.0,703.42,53752300.0,1562.5,85.15752693,
2016-11-06,3885763286.5,243521.0,11233000000.0,711.52,59902200.0,1750.0,76.99280592,
2016-11-07,3770834327.83,231821.0,11344800000.0,703.13,65047100.0,2000.0,71.73547548,
2016-11-08,2898396857.84,257838.0,11224000000.0,709.85,79660800.0,1762.5,84.26874872,
2016-11-09,2397278428.67,297839.0,11333000000.0,723.27,132429000.0,2112.5,92.25579885,



