"created_at","text","user.id_str","user.name","user.location","user.followers_count"
"Sat Dec 09 21:26:09 +0000 2017","RT @DFSKarmaAC: Are you scared about Kizer now and the wind 💨 in #cleveland ?? Like / retweet and I’ll do a live periscope update f… ","719860174","Ryan Mickle","Hendersonville, TN",71
"Sat Dec 09 21:26:09 +0000 2017","RT @6BillionPeople: Welcome to my Twitter. Im ""MarQuis Trill @6BillionPeople "" Everyone asks me ""How can I buy #Bitcoin #Litecoin… ","939595985814204417","Tommy Digioia","İstanbul, Türkiye",1
"Sat Dec 09 21:26:09 +0000 2017","RT @adryenn: 'Gold 2.0.' Cameron Winklevoss Says Bitcoin Will Become 'A Multitrillion-Dollar Asset' https://t.co/0Pw14xlmAG… ","886678614460301312","Michaela Pauly",,1
"Sat Dec 09 21:26:10 +0000 2017","RT @crypt0black: Bitcoin is not a bubble. Bitcoin will not ""die"". Bitcoin will live forever. Also, if Amazon starts to accept it, th… ","936540772106633216","Yolonda Yajima","Ethiopia",0
"Sat Dec 09 21:26:10 +0000 2017","RT @buellerff: Bought 563 bitcoin in 2011 for $6.13 each. I will randomly pick 6 people who retweet this and give one to each of y… ","369753666","Krista Eileen Smith","Stow, OH",209
"Sat Dec 09 21:26:10 +0000 2017","RT @rogerkver: Bitcoin’s usefulness as a store of value comes as a secondary effect from its usefulness as a medium of exchange. I… ","2794582430","Bitcoin Dood","NY",18459
"Sat Dec 09 21:26:10 +0000 2017","RT @adryenn: 'Gold 2.0.' Cameron Winklevoss Says Bitcoin Will Become 'A Multitrillion-Dollar Asset' https://t.co/0Pw14xlmAG… ","939597476247556097","Beatrice YILMAZ","Sindh, Pakistan",3
"Sat Dec 09 21:26:10 +0000 2017","RT @NanaAch89670000: this is a big opportunity for you to earn some #Bitcoin what are you waiting for just hurry and join the project no… ","1509982646","Seke Jack","Ghanaur, India",2628
"Sat Dec 09 21:26:10 +0000 2017","@CaRNeGeD nah bro crypto currency, similar to bitcoin but there are others out there, im starting an investment fund","2697947171","bryce","VCU 🎓",1005
"Sat Dec 09 21:26:10 +0000 2017","RT @crypt0black: Bitcoin is not a bubble. Bitcoin will not ""die"". Bitcoin will live forever. Also, if Amazon starts to accept it, th… ","936964248407855104","Женя Романова","Hanoi, Vietnam",0
"Sat Dec 09 21:26:11 +0000 2017","RT @crypt0black: Bitcoin is not a bubble. Bitcoin will not ""die"". Bitcoin will live forever. Also, if Amazon starts to accept it, th… ","906926223917568001","Rosann Stasz",,4
"Sat Dec 09 21:26:11 +0000 2017","RT @BitcoinWrld: 'Gold 2.0.' Cameron Winklevoss Says #Bitcoin Will Become 'A Multitrillion-Dollar Asset' - Fortune… ","938515840353361928","Dylan Penwill",,3
"Sat Dec 09 21:26:11 +0000 2017","RT @crypt0black: Bitcoin is not a bubble. Bitcoin will not ""die"". Bitcoin will live forever. Also, if Amazon starts to accept it, th… ","939601043335405568","Hellen Bertschi","Szabolcs-Szatmár-Bereg County",0
"Sat Dec 09 21:26:11 +0000 2017","RT @6BillionPeople: Welcome to my Twitter. Im ""MarQuis Trill @6BillionPeople "" Everyone asks me ""How can I buy #Bitcoin #Litecoin… ","854542720538468352","Elina parker",,0
"Sat Dec 09 21:26:11 +0000 2017","RT @cryptomanran: A boy asked his bitcoin-investing dad for 1 bitcoin for his birthday. \n\nDad: What? $15,554??? $14,354 is a lot of m… ","34884942","Pankaj Dugar","ÜT: 12.966796,77.598895",205
"Sat Dec 09 21:26:11 +0000 2017","RT @holyurl: if you bought $100 of bitcoin in 2010, today you would have a flawed belief system that breeds corruption","74500573","scott 🐢","Los Angeles",3421
"Sat Dec 09 21:26:12 +0000 2017","RT @nite0wl: Bought 70000000000000000000000 bitcoin in 1893 for a ha'penny farthing. I will pick 984 random people who retweet t… ","105196490","Casper Dik","Amsterdam",201
"Sat Dec 09 21:26:12 +0000 2017","RT @crypt0black: Bitcoin is not a bubble. Bitcoin will not ""die"". Bitcoin will live forever. Also, if Amazon starts to accept it, th… ","936966117402198018","Елена :3","Changwat Nakhon Ratchasima",0
"Sat Dec 09 21:26:12 +0000 2017","RT @DarwynsTheory: On the 12th day of X-mas 2017 gave to me...\n\n12 Players Kneeling\n11x Bitcoin Run-up \n10 Notched iPhones\n90,000 Acre… ","316899454","Tony Stark Defense Squad","Chi-town",115
"Sat Dec 09 21:26:12 +0000 2017","thanks bitcoin ;)","4698361880","rTx3TV","Illinois, USA",35
"Sat Dec 09 21:26:13 +0000 2017","RT @dbrand: ""Yeah, totally shoulda bought Bitcoin.""\n-2017","1347125190","🍁👻スモールポイ💀🍁","what is location really?",93
"Sat Dec 09 21:26:13 +0000 2017","RT @freemanrepo: “A boy asked his bitcoin-investing dad for 1 bitcoin for his birthday. \n\nDad: What? $15,554??? $14,354 is a lot of… ","131637515","Ibslimm","New York, NY",192
"Sat Dec 09 21:26:13 +0000 2017","RT @Doomric: Put $14.00 into bitcoin last Thursday sitting on $22.00 now lmaoo idk how y’all do that 9-5 shit","817283676996177920","Andy Trieu","Portland, OR",45
"Sat Dec 09 21:26:13 +0000 2017","RT @adryenn: 'Gold 2.0.' Cameron Winklevoss Says Bitcoin Will Become 'A Multitrillion-Dollar Asset' https://t.co/0Pw14xlmAG… ","939602708373299200","Eilene Christensen","Indonesia",0
"Sat Dec 09 21:26:13 +0000 2017","RT @crypt0black: Bitcoin is not a bubble. Bitcoin will not ""die"". Bitcoin will live forever. Also, if Amazon starts to accept it, th… ","936961246754156545","Анюта Романова","Republic of Serbia",0
"Sat Dec 09 21:26:14 +0000 2017","RT @crypt0black: Bitcoin is not a bubble. Bitcoin will not ""die"". Bitcoin will live forever. Also, if Amazon starts to accept it, th… ","936956755577331716","Лисёнок","Karakoyunlu, Iğdır",0
"Sat Dec 09 21:26:14 +0000 2017","What it feels like to earn #bitcoin on a daily basis with https://t.co/GIOKDrz3NV (Available on Google Play) #money… https://t.co/AyF2vsd0Uj","833937672","Robert Eisenstein",,21
"Sat Dec 09 21:26:14 +0000 2017","RT @6BillionPeople: Welcome to my Twitter. Im ""MarQuis Trill @6BillionPeople "" Everyone asks me ""How can I buy #Bitcoin #Litecoin… ","937017426331435015","Валентина Комарова","Republic of Belarus",0
"Sat Dec 09 21:26:14 +0000 2017","RT @TravWeav: Bought 1,500 bitcoin in 2011 for $2.87 each. I will pick 5 random people who retweet this and give one to each of y… ","323855241","toniolibero","Lyon, France",1905
"Sat Dec 09 21:26:14 +0000 2017","Are You Bullish Or Bearish On #Dash? Start #Trading #DashUSD Today!\n\nhttps://t.co/OWP4fpDz7p\n\n✅ Fast &amp; Secure Excha… https://t.co/NIj17J5WFq","897406579846393856","1Foxy.com Trading","Maryland, USA",1783
"Sat Dec 09 21:26:15 +0000 2017","I know I almost failed finance in grad school but something is telling me to take a short position in Bitcoin!","108487134","Toby Shepherd","Providence & Central Falls RI",1260
"Sat Dec 09 21:26:15 +0000 2017","RT @andersonpedilou: RT @mitchb315: @luke_lafr Yay did they do it with Bitcoin, that's the real question now the re… https://t.co/7iA8NnEE8h","54699826","Boss Kelly","Buffalo, NY",513
"Sat Dec 09 21:26:15 +0000 2017","RT @PES_PSE: Stiglitz Says Bitcoin Should be Banned https://t.co/w9rH0Pz7fR","276547520","Mario Montero","Madrid, España",3068
"Sat Dec 09 21:26:15 +0000 2017","RT @TheOnion: Bitcoin Plunge Reveals Possible Vulnerabilities In Crazy Imaginary Internet Money https://t.co/gw9MoCbvY0 https://t.co/I10ib4…","189401676","¯\_(ツ)_/¯ but with lightsabers and also is a jedi","Grand Rapids, MI",114
"Sat Dec 09 21:26:15 +0000 2017","In 2010 a guy named Laszlo Hanyecz completed the first #Bitcoin transaction when he traded 10,000 Bitcoins for a pi… https://t.co/AmbY7gSgKg","514982892","A Light in the Dark","Where I can train in secret",1551
"Sat Dec 09 21:26:15 +0000 2017","RT @buellerff: Bought 563 bitcoin in 2011 for $6.13 each. I will randomly pick 6 people who retweet this and give one to each of y… ","74504635","Jerred Roth","Mineral Wells, WV",1
"Sat Dec 09 21:26:15 +0000 2017","RT @notwokieleaks: Bitcoin definitely isn't a bubble.  It's not like there's any irrational exuberance going on https://t.co/7YyhDSGrvW","795386576587079681","ᴵ ˡᵒᵛᵉ ᵗʰᶦˢ ʷᵒᵐᵃⁿ ᵃⁿᵈ ʰᵉʳ ᶜᵘʳᵛʸ ᵇᵒᵈʸ. ᴬˢ ᵃ ᵗᵉᵉⁿᵃᵍᵉ",,64
"Sat Dec 09 21:26:16 +0000 2017","RT @TravWeav: Bought 1,500 bitcoin in 2011 for $2.87 each. I will pick 5 random people who retweet this and give one to each of y… ","3163332135","shamsshirzad","Lund, Sverige",41
"Sat Dec 09 21:26:16 +0000 2017","Bitcoin 😭😭🙏","540239150","Ibrahim","Nigeria",1808
"Sat Dec 09 21:26:16 +0000 2017","It's Not Just A Bitcoin Bubble - It's Far Worse https://t.co/W9qujazWr9","945825758","Horst Thieme","Munich",881
"Sat Dec 09 21:26:16 +0000 2017","@TCSlape58 @SenSanders The BitCoin issuing computer program also does not need to tax before it can issue BitCoins.","253776540","Kathryn Cannon","Orlando, FL",622
"Sat Dec 09 21:26:16 +0000 2017","RT @StephenAtHome: Wow, if I had invested $1,000 in Bitcoin last week, today I would have... still no idea how Bitcoin works.","3476451621","K A T A T T A C K",,24
"Sat Dec 09 21:26:16 +0000 2017","RT @crypt0black: Bitcoin is not a bubble. Bitcoin will not ""die"". Bitcoin will live forever. Also, if Amazon starts to accept it, th… ","888629103460458496","Pearle Patrick",,0
"Sat Dec 09 21:26:17 +0000 2017","Important!! https://t.co/1aio7B0fd3","924948976352350209","Crypto Bastard",,41
"Sat Dec 09 21:26:17 +0000 2017","RT @maxkeiser: #Bitcoin is not: Ponzi, Tulips, equity, debt, currency, security, commodity. It’s the anti-dollar. It’s what happen… ","709049614666629121","Global Citizen","Germany",1839
"Sat Dec 09 21:26:17 +0000 2017","RT @crypt0black: Bitcoin is not a bubble. Bitcoin will not ""die"". Bitcoin will live forever. Also, if Amazon starts to accept it, th… ","834857336674123776","Dorian Kimball",,0
"Sat Dec 09 21:26:17 +0000 2017","RT @adryenn: 'Gold 2.0.' Cameron Winklevoss Says Bitcoin Will Become 'A Multitrillion-Dollar Asset' https://t.co/0Pw14xlmAG… ","899849441967874049","Mallie Hamblin",,0
"Sat Dec 09 21:26:17 +0000 2017","RT @6BillionPeople: Welcome to my Twitter. Im ""MarQuis Trill @6BillionPeople "" Everyone asks me ""How can I buy #Bitcoin #Litecoin… ","939600823130181632","Clyde Glauner",,1
"Sat Dec 09 21:26:17 +0000 2017","Start Cloud Mining #bitcoin #Ethereum &amp; #Altcoins today. Discount Signup here: https://t.co/IxVgOKXUGG!… https://t.co/g3IZH142bG","414867918","Erik Nelson","Los Angeles, CA",1138
"Sat Dec 09 21:26:17 +0000 2017","RT @alttradex: ATXT tokens are $0.25 at ICO with 20% BONUS on the first $1M https://t.co/QGeqI8Cp9E #Alttradex #ICO #Crypto #Bitcoin #Ether…","2804911473","Donny Krick","Назрань",801
"Sat Dec 09 21:26:17 +0000 2017","RT ValaAfshar ""RT cryptomanran: A boy asked his bitcoin-investing dad for 1 bitcoin for his birthday. \n\nDad: What?… https://t.co/I5jbnOLHzC","21544448","Ashish","FL, USA",395
"Sat Dec 09 21:26:17 +0000 2017","RT @egray2344: I bought 700 Bitcoins in February, 2011 for $700.00.  I am choosing to give away 5 Bitcoins to 5 lucky retweeters.… ","1150740572","shakur_ro","Curtea de Arges",42
"Sat Dec 09 21:26:18 +0000 2017","RT @MadMoneyOnCNBC: Made some big bucks cashing in on bitcoin? Congrats! BUT.... @JimCramer's got 5 big concerns about the cryptocurren… ","883119207499563013","ché ✨","Hell",40
"Sat Dec 09 21:26:18 +0000 2017","RT @o3: Got 1700+ bitcoins in 2010 when they were worth $1.16 each. I’ll pick 10 lucky people who retweet this 1 bitcoin ea… ","919579024938192898","Alvaro Berardi",,8
"Sat Dec 09 21:26:18 +0000 2017","RT @ChrisaGives: Bought 1,400 bitcoin in 2011 for $1.42 each. I will pick 4 random people who retweet this and give one to each of you. #Bi…","882518959563694080","Andile Radebe",,16
"Sat Dec 09 21:26:18 +0000 2017","RT @NanaAch89670000: the #C bounty will earn you some #Bitcoin in two sessions this December. Dont be late to join https://t.co/0C8DN9BPy1…","1509982646","Seke Jack","Ghanaur, India",2628
"Sat Dec 09 21:26:18 +0000 2017","RT @Crypto_God: They said the internet was a fad\nThey said email was pointless\nThey said bitcoin was a fraud https://t.co/hxeiFNCABS","96141067","shibahamax3",,615
"Sat Dec 09 21:26:19 +0000 2017","RT @CaliBaset: Bought 1,500 bitcoin in 2010 for $2.32 each. I will pick 25 random people who retweet this and give one to each of… ","2159965242","Merry Phreshmas 🎁",,243
"Sat Dec 09 21:26:18 +0000 2017","Cost of energy needed to mine one Bitcoin is currently about $150,000. The world’s last Bitcoin “would require all… https://t.co/MfsMa5SG16","53554002","Ben Myers","Sydney",7406
"Sat Dec 09 21:26:19 +0000 2017","RT @crypt0black: Bitcoin is not a bubble. Bitcoin will not ""die"". Bitcoin will live forever. Also, if Amazon starts to accept it, th… ","918568443229753344","Monnie Cooper",,0
"Sat Dec 09 21:26:19 +0000 2017","RT @6BillionPeople: Welcome to my Twitter. Im ""MarQuis Trill @6BillionPeople "" Everyone asks me ""How can I buy #Bitcoin #Litecoin… ","839294940794347520","Pasty yue",,0
"Sat Dec 09 21:26:19 +0000 2017","RT @APompliano: A bunch of bankers are going to try to kill Bitcoin tomorrow at 6p EST.\n\nThey’ll fail just like everyone else.","384427509","Ex",,43
"Sat Dec 09 21:26:20 +0000 2017","RT @6BillionPeople: Welcome to my Twitter. Im ""MarQuis Trill @6BillionPeople "" Everyone asks me ""How can I buy #Bitcoin #Litecoin… ","936982632101015552","Леонид Федоров",,1
"Sat Dec 09 21:26:21 +0000 2017","@EmeSteve @dajodebo @rogerkver Bitcoin's legacy*","910511715372150785","Marco",,18
"Sat Dec 09 21:26:21 +0000 2017","1 ฿: $14907.07, 1 week ago: $19070, 3 months ago: $19940, 1 year ago: $20218.04 #bitcoin  https://t.co/N0BZQbcl79","3482504308","PlattsburghBTC","Plattsburgh, NY",3057
"Sat Dec 09 21:26:21 +0000 2017","Trade Financial Markets With #Bitcoin And #HODL Your Profits In Bitcoin! No FIAT Currency Required!… https://t.co/O5NyZDKFvh","14601336","EvilCuppyCakes Bitcoin","Maryland, USA",56362
"Sat Dec 09 21:26:21 +0000 2017","I like the idea of bitcoin but I LOVE bacon. Trillion-dollar idea: 'bacoin'. (bacoink?) #bitcoin","18424261","Terry Williams","Auckland, New Zealand",4658
"Sat Dec 09 21:26:21 +0000 2017","@cryptomanran @VoluntaryMitch Don't panic just HODL guys! We can beat those crooks on Wall Street which is one of t… https://t.co/hWyEkYFtaJ","910476693818748928","Adama306","Ottawa, Ontario",13
"Sat Dec 09 21:26:22 +0000 2017","RT @rogerkver: Erik,  the Bitcoin that you and I fell in love with in 2011, the one offering instant and basically free transactio… ","14944911","Avraham Elias",,393
"Sat Dec 09 21:26:22 +0000 2017","RT @Pepe_Le_Prat: @parabolictrav Bankers when they decide to long bitcoin https://t.co/46yT3chSLl","875427224920309760","chaddwoo","Miami, FL",42
